,Voucher Number,Voucher_Date,Credit,Invoice_number
0,ESS/RV210593,2021-04-14,3200.0,ESS/IVO200168
0,ESS/RV200091,2020-12-16,15000.0,ESS/IVO200170
0,ESS/RV210019,2021-02-03,17200.0,ESS/IVO200171
0,ESS/RV210022,2021-02-03,38300.0,ESS/IVO200172
0,ESS/RV210019,2021-02-03,14500.0,ESS/IVO200173
0,ESS/RV210583,2021-03-11,3400.0,ESS/IVO200174
0,ESS/RV210019,2021-02-03,5600.0,ESS/IVO200175
0,ESS/RV230285,2023-05-22,63160.0,ESS/IVO200179
1,ESS/RV230286,2023-06-18,23040.0,ESS/IVO200179
0,ESS/RV200106,2020-12-31,6400.0,ESS/IVO200180
0,ESS/RV200106,2020-12-31,12800.0,ESS/IVO200181
0,ESS/RV210108,2021-01-21,15600.0,ESS/IVO200182
0,ESS/RV210595,2021-04-15,6400.0,ESS/IVO200183
0,ESS/RV210595,2021-04-15,6400.0,ESS/IVO200184
0,ESS/RV210591,2021-04-06,28800.0,ESS/IVO200186
0,ESS/RV210595,2021-04-15,6400.0,ESS/IVO200187
0,ESS/RV210595,2021-04-15,6400.0,ESS/IVO200188
0,ESS/RV210108,2021-01-21,12800.0,ESS/IVO200190
0,ESS/RV210001,2021-01-24,7800.0,ESS/IVO200191
0,ESS/RV210587,2021-04-04,6400.0,ESS/IVO200192
0,ESS/RV210587,2021-04-04,6400.0,ESS/IVO200193
0,ESS/RV210587,2021-04-04,6400.0,ESS/IVO200194
0,ESS/RV210587,2021-04-04,6400.0,ESS/IVO200195
0,ESS/RV210587,2021-04-04,12800.0,ESS/IVO200196
0,ESS/RV210587,2021-04-04,15600.0,ESS/IVO200197
0,ESS/RV210587,2021-04-04,3200.0,ESS/IVO200199
0,ESS/RV210587,2021-04-04,7800.0,ESS/IVO200200
0,ESS/RV210587,2021-04-04,6400.0,ESS/IVO200201
0,ESS/RV210587,2021-04-04,6400.0,ESS/IVO200202
0,ESS/RV210587,2021-04-04,3200.0,ESS/IVO200203
0,ESS/RV210587,2021-04-04,3200.0,ESS/IVO200204
0,ESS/RV210023,2021-02-23,13187.1,ESS/IVO200205
0,ESS/RV210023,2021-02-23,9750.0,ESS/IVO200206
0,ESS/RV210023,2021-02-23,3250.0,ESS/IVO200207
0,ESS/RV210023,2021-02-23,13896.78,ESS/IVO200208
0,ESS/RV210023,2021-02-23,10300.0,ESS/IVO200209
0,ESS/RV210023,2021-02-23,9850.0,ESS/IVO200210
0,ESS/RV210023,2021-02-23,10285.49,ESS/IVO200211
0,ESS/RV210023,2021-02-23,3250.0,ESS/IVO200212
0,ESS/RV210023,2021-02-23,9966.13,ESS/IVO200213
0,ESS/RV210023,2021-02-23,6600.0,ESS/IVO200214
0,ESS/RV210023,2021-02-23,6500.0,ESS/IVO200215
0,ESS/RV210044,2021-01-21,55220.0,ESS/IVO200154
0,ESS/RV210593,2021-04-14,1400.0,ESS/IVO200169
0,ESS/RV210019,2021-02-03,91700.0,ESS/IVO200176
0,ESS/RV210051,2021-01-24,4340.0,ESS/IVO200177
0,ESS/RV210048,2021-01-24,3306.67,ESS/IVO200178
0,ESS/RV210057,2021-01-28,9600.0,ESS/IVO200216
1,ESS/RV210245,2021-05-20,3200.0,ESS/IVO200216
0,ESS/RV210017,2021-02-22,9200.0,ESS/IVO200217
0,ESS/RV210631,2021-12-31,6400.0,ESS/IVO200219
0,ESS/RV210053,2021-01-24,2975.0,ESS/IVO200220
