Customer,Settlement Duration(30K),Age Bracket(20K),GP Generated(35K),Established Since(5K),Worked Since(10K),Total(100K)
1020201125,17863.240861318875,18143.74255171161,6835.880209771527,5000.0,6000.0,53842.863622802004
1020201088,30000.0,5000.0,14824.350151107672,2000.0,2000.0,53824.350151107676
1020201163,30000.0,5000.0,14738.808244217027,2000.0,2000.0,53738.80824421703
1020201270,29666.666666666668,4944.444444444444,15782.357924550326,1000.0,2000.0,53393.46903566144
1020201408,30000.0,18000.0,2110.558054371453,1000.0,2000.0,53110.55805437145
1020201353,30000.0,5000.0,14868.07739012542,1000.0,2000.0,52868.07739012542
1020201385,30000.0,5000.0,11647.770335823516,4000.0,2000.0,52647.770335823516
1020201290,30000.0,5000.0,14545.896724978757,1000.0,2000.0,52545.89672497875
1020201254,30000.0,5000.0,14497.263439082826,1000.0,2000.0,52497.263439082824
1020201175,30000.0,5000.0,13397.06090268573,2000.0,2000.0,52397.06090268573
1020201295,30000.0,5000.0,14275.14009308538,1000.0,2000.0,52275.14009308538
1020201304,29937.93809680831,4989.656349468052,8307.060241142439,5000.0,4000.0,52234.6546874188
1020201346,29651.01459657354,14385.292999064623,1126.483281469761,5000.0,2000.0,52162.790877107924
1020201389,29358.307120388905,4893.051186731484,14767.545837564561,1000.0,2000.0,52018.90414468495
1020201172,30000.0,5000.0,13007.207342860109,2000.0,2000.0,52007.20734286011
1020201330,30000.0,5000.0,9916.737901071532,5000.0,2000.0,51916.73790107153
1020201154,20623.042700122012,17585.211717987047,2700.4182760770873,5000.0,6000.0,51908.67269418615
1020201258,28069.503537637687,2917.814880855892,17812.98410452981,1000.0,2000.0,51800.30252302339
1020201213,30000.0,5000.0,9690.210424487412,5000.0,2000.0,51690.21042448741
1020201219,30000.0,5000.0,13364.076363441085,1000.0,2000.0,51364.07636344108
1020201372,29999.999999999996,4999.999999999999,13317.553168572302,1000.0,2000.0,51317.553168572296
1020201425,30000.0,5000.0,12989.453902781395,1000.0,2000.0,50989.453902781395
1020201191,30000.0,5000.0,11726.056675742215,2000.0,2000.0,50726.05667574221
