,Job_Code,Interest,Investment,Gross Revenue,Net Revenue,Initial Profit,Current Profit,Customer_Code,Cus_Name
3648,NBNLAIFCT231550,29.74,2749.580558521066,2856.52,2256.56,106.93944147893413,77.19944147893413,C00174,SALAM STUDIO & STORES
3649,NBNLSI222241,0.0,0.0,2846.5,800.0,-130.5108778699771,-130.5108778699771,C00174,SALAM STUDIO & STORES
3650,NBNLMICC220137,0.0,0.0,11000.0,11000.0,5304.817698374762,5304.817698374762,CUS0013,NBK Tyre Services
3651,NBNLSI211281,0.01,0.0,8080.0,1430.0,-11.640265903129567,-11.650265903129567,C00174,SALAM STUDIO & STORES
3652,NBNLSI233747,293.32,14118.554341991985,14105.0,5600.0,-13.55434199198453,-306.8743419919845,C00174,SALAM STUDIO & STORES
3653,NBNLRRI220563,0.0,0.0,1685.0,1085.0,124.05551442971256,124.05551442971256,CUS0010,Auto Class Automobiles
3654,NBNLRRI220871,10.34,619.7525938840097,650.0,50.0,31.073955184778686,20.733955184778686,C00225,NBK Heavy Equipment
3655,NBNLRRI231210,65.88,5739.788053412729,6575.0,6050.0,835.2119465872707,769.3319465872707,C00164,Qatar Automobiles Company W.L.L.
3656,NBNLSI211552,0.0,0.0,1250.0,1200.0,295.7175419038545,295.7175419038545,CUS0013,NBK Tyre Services
3657,NBLSI200124,0.0,0.0,2200.0,1325.0,472.79900938385674,472.79900938385674,CUS0013,NBK Tyre Services
3658,NBNLAIFCT210610,0.0,0.0,2628.0,2628.0,1148.478358770265,1148.478358770265,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3659,NBNLAIPQ210204,0.0,0.0,1043.0,660.0,257.581659873817,257.581659873817,C00222,Q-AUTO L.L.C.
3660,NBNLSI233349,5.13,12439.980708142684,12854.0,1075.0,414.0192918573149,408.8892918573149,CUS0493,CASA VICENZA TRADING CONTRACTING  DECORATION
3661,NBNLSI233596,221.22,13773.052447140264,15115.75,8050.0,1342.6975528597359,1121.4775528597359,CUS0470,AL JABOR TRADING
3662,NBNLSI222978,4.34,839.171979710123,1170.0,1120.0,336.1281294284873,331.7881294284873,C00136,NBK & Sons Trading Co
3663,NBNLSEFCT210023,0.0,0.0,4145.0,750.0,126.54211356937037,126.54211356937037,C00017,AL Khayarin Plastic Factory WLL
3664,NBNLSI222159,0.0,0.0,51389.0,1800.0,541.9559877580298,541.9559877580298,C00182,Suncons Trading & Contracting WLL
3665,NBNLSI244787,236.33,15122.243973679439,16500.0,3750.0,1377.8836300221237,1141.5536300221238,C00182,Suncons Trading & Contracting WLL
3666,NBNLSI233305,67.98,2885.349223309778,3800.0,1700.0,914.650776690222,846.6707766902219,C00164,Qatar Automobiles Company W.L.L.
3667,NBNLSI233944,195.37,134268.6480058336,141647.0,23500.0,7378.497811293366,7183.127811293366,C00182,Suncons Trading & Contracting WLL
3668,NBNLAIFCT210879,0.0,0.0,696.0,696.0,-190.17957726107238,-190.17957726107238,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3669,NBNLAIP221000,0.0,0.0,3633.38,850.0,209.54731113885884,209.54731113885884,C00136,NBK & Sons Trading Co
3670,NBNLSIFCT210459,0.0,0.0,22420.25,15975.25,3088.0480654219677,3088.0480654219677,CUS0046,Al HATTAB HOLDING
3671,NBLRRI210047,0.0,0.0,9625.0,9075.0,2112.4365350132903,2112.4365350132903,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3672,NBNLSI233025,44.18,3287.2713712697987,3580.0,1045.0,293.0651691849648,248.8851691849648,CUS0310,SAUDIA HYPERMARKET
3673,NBNLRRI220819,40.45,2676.971091503269,3755.0,3155.0,478.0858576446434,437.6358576446434,CUS0010,Auto Class Automobiles
3674,NBLAIP210074,0.0,0.0,4236.8,1450.0,142.6766583036623,142.6766583036623,C00136,NBK & Sons Trading Co
3675,NBNLLCT230043,19.44,1250.0,1250.0,0.0,0.0,-19.44,C00174,SALAM STUDIO & STORES
3676,NBNLSI244800,282.45,17922.24397367944,19300.0,3750.0,1377.8836300221237,1095.4336300221237,C00182,Suncons Trading & Contracting WLL
3677,NBNLSI222150,0.0,0.0,13800.0,3200.0,-814.4274259938925,-814.4274259938925,C00174,SALAM STUDIO & STORES
3678,NBNLMICC220212,46.88,3516.3551947227847,8334.0,8334.0,4820.308957969206,4773.428957969206,C00222,Q-AUTO L.L.C.
3679,NBNLRRI241462,13.69,1059.528310536667,1155.0,655.0,220.471689463333,206.781689463333,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3680,NBNLAIFCT231567,50.97,5881.699182827709,6176.51,3138.0,294.8108171722911,243.84081717229108,CUS0348,BLUEPRINT
3681,NBNLAIFCT211079,0.0,0.0,1248.0,1248.0,188.12705694171348,188.12705694171348,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3682,NBNLSIFCT220773,168.71,14083.066081158964,15474.5,13378.0,1392.325241098916,1223.615241098916,C00136,NBK & Sons Trading Co
3683,NBNLAIFCT241621,106.89,15735.34771300873,16654.0,15000.0,918.652286991269,811.762286991269,C00174,SALAM STUDIO & STORES
3684,NBNLAIP220763,0.0,0.0,1570.0,550.0,295.0041363991227,295.0041363991227,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3685,NBNLSI245279,3.11,2403.130522410181,3853.0,970.0,394.94836219212215,391.83836219212213,C00231,Nasser Bin Khaled Service Centers W.L.L
3686,NBNLAIFCT211072,0.0,0.0,23127.53,22057.6,3460.099841480797,3460.099841480797,C00174,SALAM STUDIO & STORES
3687,NBNLSI245313,12.3,2877.562861380298,3760.0,1085.0,427.6464891139094,415.3464891139094,CUS0310,SAUDIA HYPERMARKET
3688,NBNLSI222994,37.52,5177.072853824791,5326.0,1400.0,149.01907988623682,111.49907988623681,CUS0456,AL ANSARI AND PARTNERS WLL
3689,NBNLSI234213,191.64,8141.289660539884,8020.0,1600.0,-121.28966053988347,-312.92966053988346,C00174,SALAM STUDIO & STORES
3690,NBNLSI222167,0.0,0.0,3737.0,1250.0,439.18456951540475,439.18456951540475,CUS0013,NBK Tyre Services
3691,NBNLRRI210146,0.0,0.0,1932.0,1030.0,138.53137939110906,138.53137939110906,C00222,Q-AUTO L.L.C.
3692,NBNLAIFCT221345,82.64,5312.53,6818.88,6335.0,504.5230097475412,421.8830097475412,C00174,SALAM STUDIO & STORES
3693,NBNLSI211407,0.0,0.0,4075.0,1200.0,490.22716751667315,490.22716751667315,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3694,NBNLSIFCT220518,0.0,0.0,36294.5,34248.0,354.74044552508394,354.74044552508394,C00225,NBK Heavy Equipment
3695,NBNLAIFCT221198,0.0,0.0,5291.08,4953.62,1156.4756285262301,1156.4756285262301,C00225,NBK Heavy Equipment
3696,NBNLAIP231456,0.24,1028.097233531714,1113.5,250.0,85.402766468286,85.16276646828601,C00011,AL BASET TRADING AND TRANSPORTION CO
3697,NBNLAIP231493,51.83,3558.4070694607544,3590.75,175.0,32.34293053924564,-19.487069460754356,CUS0319,AL Musse Trading & Contracting Services
3698,NBNLSI233311,167.93,9645.030856788086,10895.0,3675.0,1249.9691432119143,1082.0391432119143,CUS0310,SAUDIA HYPERMARKET
3699,NBNLSI210904,0.0,0.0,1100.0,1050.0,339.91635026150675,339.91635026150675,C00136,NBK & Sons Trading Co
3700,NBLLCLIFCT210005,0.0,0.0,4210.7,2936.25,1047.050996531517,1047.050996531517,C00137,NBK AWLA HEAVY EQ
3701,NBNLAIP210313,0.0,0.0,1500.0,1200.0,352.0098594421371,352.0098594421371,C00210,Nasser Bin Khaled & Sons Automobiles W.L.L
3702,NBLSI210570,0.0,0.0,20990.0,2520.0,1209.790867929396,1209.790867929396,C00137,NBK AWLA HEAVY EQ
3703,NBNLSI210817,0.0,0.0,4400.0,4200.0,1338.3777351641754,1338.3777351641754,C00136,NBK & Sons Trading Co
3704,NBNLAIP221170,2.59,2076.81316050449,2454.8,950.0,380.47668180023976,377.8866818002398,C00063,FRIENDLY FOOD QATAR
3705,NBNLAIP220644,0.0,0.0,785.94,370.0,103.70569898939115,103.70569898939115,C00231,Nasser Bin Khaled Service Centers W.L.L
3706,NBNLSI233995,225.1,34929.45559387435,36375.0,8000.0,2520.544406125648,2295.444406125648,C00182,Suncons Trading & Contracting WLL
3707,NBNLMICC210013,0.0,0.0,11333.0,11333.0,8101.246635092879,8101.246635092879,CUS0012,NBK Medical Equipments
3708,NBNLSI233129,32.13,831.2137436273869,1280.0,1280.0,448.7972349293202,416.6672349293202,CUS0013,NBK Tyre Services
3709,NBNLSI222738,0.28,16.59248980888245,3126.5,1630.0,413.41934954779674,413.13934954779677,C00225,NBK Heavy Equipment
3710,NBNLRRI241414,7.88,3134.3918657772165,3460.0,2935.0,325.66821716171813,317.78821716171814,C00164,Qatar Automobiles Company W.L.L.
